"ID_REF","VALUE"
"AC148152.3_FGT001",-0.104373597042779
"AC148152.3_FGT005",-0.206211691511979
"AC148152.3_FGT006",-0.0279679264453916
"AC148152.3_FGT008",0.162933941669403
"AC148167.6_FGT001",0.56551719558187
"AC149475.2_FGT002",-0.553811567311742
"AC149475.2_FGT003",0.631565806181778
"AC149475.2_FGT005",-0.189585681528127
"AC149475.2_FGT007",0.271278206610974
"AC149810.2_FGT003",0.118870426050609
"AC149810.2_FGT004",0.391288736681023
"AC149810.2_FGT008",-0.424840521481786
"AC149818.2_FGT001",1.3709024534405
"AC149818.2_FGT004",-0.164636406872335
"AC149818.2_FGT005",0.346165841652223
"AC149818.2_FGT006",-0.0480350010423066
"AC149818.2_FGT007",-0.649542217472297
"AC149818.2_FGT008",0.302580467392887
"AC149818.2_FGT009",-0.0500173661596617
"AC149828.2_FGT002",-0.204137345743899
"AC149828.2_FGT004",0.681035293911743
"AC149828.2_FGT005",0.22269761565966
"AC149829.2_FGT002",3.2308941162399
"AC149829.2_FGT003",0.0557855832793796
"AC149829.2_FGT004",0.23665543190028
"AC149829.2_FGT006",-0.406030021224428
"AC150739.3_FGT001",-0.828190362634986
"AC152495.1_FGT002",0.0188706340733913
"AC152495.1_FGT003",0.0261976907137698
"AC152495.1_FGT010",0.0100857887894336
"AC152495.1_FGT011",0.31762520951098
"AC152495.1_FGT012",-0.133808114748386
"AC152495.1_FGT013",0.0261968784857596
"AC152495.1_FGT015",-0.242379862147975
"AC152495.1_FGT017",-0.362911978011563
"AC155352.2_FGT001",0.318068459561973
"AC155352.2_FGT010",-0.7437124158362
"AC155376.2_FGT002",-0.376775772234602
"AC155376.2_FGT004",0.0858038573511441
"AC155376.2_FGT005",0.47098556219579
"AC155377.1_FGT001",-0.262835238989382
"AC155377.1_FGT002",0.00553382803886759
"AC155390.2_FGT002",-0.145587264892789
"AC155434.2_FGT001",0.0567189827089368
"AC155434.2_FGT003",-0.236688041990646
"AC155434.2_FGT004",0.0390955737391419
"AC155434.2_FGT005",-0.117967975559282
"AC155434.2_FGT006",-0.316562701229539
"AC155496.2_FGT009",0.0718229504360025
"AC155610.2_FGT007",-0.177611804973839
"AC155610.2_FGT009",-0.256680175689804
"AC155622.2_FGT001",-0.282416864092822
"AC155622.2_FGT004",0.590575411468983
"AC155624.2_FGT006",0.597054501961744
"AC155624.2_FGT011",0.25947222202722
"AC159612.1_FGT007",0.0869495985972798
"AC165171.2_FGT002",0.432699008922074
"AC165178.2_FGT004",-0.0234993136610091
"AC166636.1_FGT007",0.326109470980688
"AC166636.1_FGT008",0.281927407301594
"AC166636.1_FGT009",0.210546895255143
"AC177831.3_FGT004",0.211834022554281
"AC177833.2_FGT001",-0.378038373080727
"AC177837.3_FGT002",-0.286058284179003
"AC177838.2_FGT015",0.0994285104696711
"AC177844.2_FGT003",0.0392398505839195
"AC177850.2_FGT003",-0.0188066849604909
"AC177850.2_FGT005",-0.135500673952644
"AC177860.4_FGT002",0.179986826795021
